City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Sompeta,IN,64.81,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
380,Port Lincoln,AU,66.97,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
382,Grand-Santi,GF,73.78,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
394,Ilo,PE,73.18,few clouds,-17.6394,-71.3375,Torreblanca Hotel
401,Chiredzi,ZW,70.95,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
403,Henderson,US,74.75,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
404,Butembo,CD,62.51,broken clouds,0.15,29.2833,Hotel Butembo
416,Kaohsiung,TW,65.03,overcast clouds,22.6163,120.3133,御宿商旅-中山館
417,Gore,NZ,59.23,few clouds,-46.1028,168.9436,Esplanade Motels
418,Bosaso,SO,72.73,scattered clouds,11.2842,49.1816,Red Sea Hotel
423,Lagoa,PT,56.57,overcast clouds,39.05,-27.9833,Casa Das Faias
424,Dubbo,AU,68.13,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
425,Palasa,IN,63.12,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
431,Menongue,AO,62.69,overcast clouds,-14.6585,17.691,Ritz Lauca
432,Sao Miguel Do Araguaia,BR,72.72,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
440,Ponta Delgada,PT,60.49,broken clouds,37.7333,-25.6667,Vila Nova Hotel
444,Geraldton,AU,73.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
445,Senanga,ZM,69.1,scattered clouds,-16.1167,23.2667,Zango lodge
452,Vikarabad,IN,63.99,clear sky,17.3333,77.9,sri sai college of dental surgery boys hostel
459,Maralal,KE,61.03,broken clouds,1.0968,36.698,Ngari Hill Ecolodge
462,Tacna,PE,70.0,scattered clouds,-18.0056,-70.2483,Hotel Colón Inn
464,Naze,JP,58.12,light rain,28.3667,129.4833,Shishime Hotel
479,Praia Da Vitoria,PT,55.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
482,Bend,US,64.58,few clouds,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
487,Rocha,UY,63.09,clear sky,-34.4833,-54.3333,Hotel Arrarte
488,Laredo,US,66.2,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
495,Berbera,SO,74.26,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
500,Necochea,AR,66.07,clear sky,-38.5473,-58.7368,dyd -mar Hotel
501,Coihaique,CL,73.96,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
504,Gushikawa,JP,65.43,light rain,26.3544,127.8686,Kirari Guest House
506,Sharjah,AE,64.38,few clouds,25.3573,55.4033,Swiss Belhotel Sharjah
