City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Thinadhoo,MV,2022-02-13 04:46:05,0.5333,72.9333,81.61,74,91,9.26
199,Price,US,2022-02-13 04:46:06,39.5994,-110.8107,31.12,64,0,8.05
200,Tura,IN,2022-02-13 04:46:06,25.5198,90.2201,72.3,36,0,2.59
201,Nouadhibou,MR,2022-02-13 04:46:07,20.931,-17.0347,64.38,68,81,18.41
202,Marzuq,YE,2022-02-13 04:46:07,14.4,46.4667,66.85,38,67,4.79
203,Port Macquarie,AU,2022-02-13 04:43:46,-31.4333,152.9167,75.88,64,63,8.7
204,Batagay-Alyta,RU,2022-02-13 04:46:08,67.8006,130.4114,-6.0,86,84,1.86
205,Nanyang,CN,2022-02-13 04:46:08,32.9947,112.5328,49.86,48,80,5.84
206,Mapiripan,CO,2022-02-13 04:46:09,2.8892,-72.1256,75.27,64,73,4.0
207,Anloga,GH,2022-02-13 04:46:09,5.7947,0.8973,82.62,82,71,13.69
208,Kiama,AU,2022-02-13 04:46:09,-34.6833,150.8667,79.25,57,19,7.0
209,Canutama,BR,2022-02-13 04:46:10,-6.5339,-64.3831,72.34,95,53,2.37
210,Mtwango,TZ,2022-02-13 04:46:10,-9.0167,34.8,58.68,97,97,4.12
211,Saldanha,ZA,2022-02-13 04:46:11,-33.0117,17.9442,62.65,90,47,11.74
212,Nanortalik,GL,2022-02-13 04:46:11,60.1432,-45.2371,25.92,91,100,2.95
213,Moguer,ES,2022-02-13 04:46:12,37.2756,-6.8385,51.71,77,23,1.66
214,Takoradi,GH,2022-02-13 04:46:12,4.8845,-1.7554,77.99,88,84,6.35
215,Mecca,SA,2022-02-13 04:45:02,21.4267,39.8261,70.07,26,0,12.73
216,Mahon,ES,2022-02-13 04:46:13,39.8885,4.2658,45.16,93,0,2.3
217,Mar Del Plata,AR,2022-02-13 04:46:14,-38.0023,-57.5575,57.87,77,0,4.0
218,Kodinsk,RU,2022-02-13 04:46:14,58.6881,99.1844,-0.33,86,55,3.51
219,Troitskoye,RU,2022-02-13 04:46:14,52.9821,84.6757,11.91,89,76,5.03
220,Beidao,CN,2022-02-13 04:46:15,34.5686,105.8933,39.88,70,100,3.22
221,Alice Town,BS,2022-02-13 04:46:16,25.7167,-79.3,75.54,81,54,6.6
222,Vila Velha,BR,2022-02-13 04:41:29,-20.3297,-40.2925,73.94,96,75,4.61
223,Jamestown,US,2022-02-13 04:45:59,42.097,-79.2353,20.08,79,100,5.75
224,Roald,NO,2022-02-13 04:46:16,62.5833,6.1333,42.94,81,100,13.8
225,Kuala Sungai Baru,MY,2022-02-13 04:46:17,2.3594,102.0353,87.94,75,89,1.23
226,Bathsheba,BB,2022-02-13 04:46:17,13.2167,-59.5167,77.61,73,40,20.71
227,Kandi,BJ,2022-02-13 04:46:18,11.1342,2.9386,68.41,15,36,4.38
228,Zaoyang,CN,2022-02-13 04:46:18,32.1272,112.7542,49.82,50,99,6.62
229,Cam Ranh,VN,2022-02-13 04:46:19,11.9214,109.1591,80.56,74,75,6.91
230,Colares,PT,2022-02-13 04:46:20,38.7992,-9.4469,51.33,75,13,15.01
231,Ishigaki,JP,2022-02-13 04:46:20,24.3448,124.1572,69.93,100,75,9.22
232,Cap Malheureux,MU,2022-02-13 04:46:21,-19.9842,57.6142,83.46,73,31,8.99
233,Ponta Do Sol,PT,2022-02-13 04:46:21,32.6667,-17.1,63.23,69,17,4.97
234,Mount Gambier,AU,2022-02-13 04:46:22,-37.8333,140.7667,84.11,23,100,12.66
235,Tabou,CI,2022-02-13 04:41:50,4.423,-7.3528,77.23,87,18,4.72
236,Port Blair,IN,2022-02-13 04:46:22,11.6667,92.75,82.44,57,20,11.5
237,Terney,RU,2022-02-13 04:46:23,45.0503,136.6092,25.0,62,50,11.27
238,Buluang,PH,2022-02-13 04:46:23,13.3068,123.3425,82.33,77,91,6.64
239,Porto Novo,BJ,2022-02-13 04:46:24,6.4965,2.6036,82.22,88,58,5.53
240,Klaksvik,FO,2022-02-13 04:46:24,62.2266,-6.589,38.32,98,100,38.01
241,Port-Gentil,GA,2022-02-13 04:46:24,-0.7193,8.7815,80.35,80,100,8.3
242,Beroroha,MG,2022-02-13 04:46:25,-21.6667,45.1667,79.68,53,30,7.63
243,Evensk,RU,2022-02-13 04:46:26,61.95,159.2333,-5.87,82,9,5.79
244,Killybegs,IE,2022-02-13 04:46:26,54.6333,-8.45,45.45,92,100,5.91
245,Flinders,AU,2022-02-13 04:46:27,-34.5833,150.8552,79.05,58,23,11.99
246,Vardo,NO,2022-02-13 04:46:27,70.3705,31.1107,24.35,73,2,16.71
247,Nenjiang,CN,2022-02-13 04:46:27,49.1833,125.2167,6.6,80,87,8.7
248,Samarai,PG,2022-02-13 04:46:28,-10.6167,150.6667,82.87,67,20,11.63
249,Carnarvon,AU,2022-02-13 04:46:28,-24.8667,113.6333,89.67,51,100,13.8
250,Oban,GB,2022-02-13 04:46:29,56.4127,-5.4706,45.37,90,100,10.45
251,Victoria,HK,2022-02-13 04:41:44,22.2855,114.1577,65.25,92,100,5.01
252,Chuy,UY,2022-02-13 04:46:29,-33.6971,-53.4616,65.44,90,100,11.14
253,Bambous Virieux,MU,2022-02-13 04:46:30,-20.3428,57.7575,83.21,83,40,11.5
254,Nome,US,2022-02-13 04:46:30,64.5011,-165.4064,-5.73,65,0,0.0
255,Tezu,IN,2022-02-13 04:42:58,27.9167,96.1667,71.65,23,0,4.5
256,Coihaique,CL,2022-02-13 04:46:16,-45.5752,-72.0662,63.21,77,0,4.61
257,Ancud,CL,2022-02-13 04:43:05,-41.8697,-73.8203,58.53,92,52,0.04
258,Sattur,IN,2022-02-13 04:46:31,9.3667,77.9333,85.08,55,98,14.65
259,Trairi,BR,2022-02-13 04:46:32,-3.2778,-39.2689,77.13,87,89,6.22
260,Olinda,BR,2022-02-13 04:46:32,-8.0089,-34.8553,82.13,78,40,4.61
261,Maumere,ID,2022-02-13 04:46:33,-8.6199,122.2111,83.93,69,100,3.33
262,Saint-Pierre,RE,2022-02-13 04:46:33,-21.3393,55.4781,82.08,69,0,3.44
263,Polyarnyy,RU,2022-02-13 04:46:34,69.1989,33.4478,-16.13,97,15,10.31
264,Dutlwe,BW,2022-02-13 04:46:34,-23.9833,23.9,67.05,48,0,9.93
